open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1771905600000,63595.51,63628.52,62868.69,63378.84,2096.9105,1771909199999,132511806.9536808,495595,871.90293,55101898.3247378
1771909200000,63378.84,63551.58,62700.8,63104.79,1274.07037,1771912799999,80342774.0867165,386025,646.83569,40802314.0824051
1771912800000,63104.79,63322.28,62900.0,63082.79,677.94768,1771916399999,42806880.103254,255552,309.65523,19556887.4533166
1771916400000,63082.79,63367.2,62866.42,63192.96,890.96125,1771919999999,56269393.7097431,233145,439.47521,27764484.4911209
1771920000000,63192.79,63444.66,63009.92,63392.15,669.14656,1771923599999,42333900.7065023,220679,376.79334,23837920.5345107
1771923600000,63392.15,63411.8,62908.92,63249.99,657.17066,1771927199999,41505196.0000529,220043,314.10664,19841305.499893
1771927200000,63250.0,63369.71,63112.7,63284.5,447.19211,1771930799999,28277310.2949381,147941,217.51395,13752979.2298824
1771930800000,63284.51,63317.95,63063.63,63227.1,461.08382,1771934399999,29133820.9825727,132175,224.89144,14209279.3323806
1771934400000,63227.11,63343.59,62965.21,62969.05,642.15852,1771937999999,40546764.2652463,164127,308.61402,19491152.9277853
1771938000000,62969.04,63100.0,62510.28,62900.0,2362.19948,1771941599999,148398280.19746,377096,1295.55202,81347672.0709841
1771941600000,62900.01,63834.21,62762.03,63453.99,1408.18955,1771945199999,89000111.5284155,621688,642.66735,40626640.4575965
1771945200000,63454.0,64031.76,63300.0,63973.97,1127.10688,1771948799999,71836642.6740974,557584,604.28829,38514364.6347379
1771948800000,63973.98,64428.9,63689.54,64265.52,1423.20973,1771952399999,91237664.0230626,532595,774.1109,49637193.7639093
1771952400000,64265.53,64520.0,64042.8,64219.71,1017.32505,1771955999999,65365207.3539994,334080,490.83675,31543803.4202157
1771956000000,64219.7,64500.0,63872.72,64435.06,809.89318,1771959599999,52049371.9993315,266863,345.95255,22240345.0988491
1771959600000,64435.05,64743.11,64250.52,64435.03,722.29463,1771963199999,46575773.50747,254868,381.13647,24577765.500693
1771963200000,64435.03,64591.99,64318.03,64472.9,409.22444,1771966799999,26378082.8009519,178466,187.41335,12081811.7000112
1771966800000,64472.9,64472.9,63820.5,64042.66,576.40912,1771970399999,36937918.6490745,175796,225.42259,14439840.495059
1771970400000,64042.66,64227.81,63973.79,64120.95,288.16182,1771973999999,18478919.9673859,120415,140.42795,9004428.0364431
1771974000000,64120.96,64248.65,63853.99,64058.15,389.41705,1771977599999,24944274.5352537,131370,181.31948,11614454.8553972
1771977600000,64058.15,64319.29,63913.27,64224.3,292.38037,1771981199999,18748391.7802803,135894,147.19221,9441168.7598231
1771981200000,64224.29,66300.0,64145.2,65896.75,2840.08056,1771984799999,186553497.9886753,728922,1575.47713,103400109.7530749
1771984800000,65896.74,66310.0,65866.66,65884.83,1252.91602,1771988399999,82788548.1972271,331915,603.01826,39853948.6295619
